rin,eng
Amo yan magayon na ideya!,That is an excellent idea!
Sapat na kwarto para sa ngamin.,There is enough room for everybody.
Pig-iisip ko uda man anyoneng sadto kusina.,I thought there was nobody in the kitchen.
Buko man namo ading kat.,This cat is not ours.
Migdara ko ika sa bagong tindan.,I'll drive you to the new store.
Buko man sadit a bag na maluway.,This bag is not small.
Buko ading cup mo.,That is not your cup.
Tauno ta pigsabiyan mo na di kanako nguwan?,Why are you telling this to me now?
Lawod na ika.,You are too late.
Sari na raw kamo apon?,Where have you been all afternoon?
"Buko, nag-iiyan ako sa Ingles.","No, I am English."
Kawasa kolor ading kotsar na pinnakal niya sa sadiri?,What colour is the car she bought herself?
Gusto niya sa libbraryo.,She likes to go to the library.
Diri mo iya pagtubod!,Don't believe him!
Uda sadi.,There is nothing here.
Uda na 'ko mga ideya.,I have no more ideas.
Ading lugar buka sa ngamin.,This place is open to everybody.
Good swimmer si Ken.,Ken is a good swimmer.
Di ko po a pukuapuon akong mag-agi-aging uda walking stick.,My grandfather cannot walk without a walking stick.
Nag-iba si Tom sa Army.,Tom joined the Army.
Diri posibleng maginibo sa darwang bagay sa maray.,It's not possible to do two things at once.
Pirang mga ngod ninyo? Pirang mga ngod na babayi ninyo?,How many brothers do you have? How many sisters do you have?
Nagngayamon sa Frisbee si Tom.,Tom is playing frisbee.
Uda perfecto.,Nobody's perfect.
Salamat sa pag-bagion mo!,Thank you for sharing!
Buko man adi sa pipa.,This is not a pipe.
"photomontage man palan, buko!","Unfortunately, it's not a photomontage!"
Pig-iisip ko na maiintindiyan mo.,I thought you would understand.
Lawod na kanako.,It's too late for me.
A simbag amo.,The answer is yes.
A simbag amo uda.,The answer is no.
"Sa Rio de Janeiro, 20 porsilong ka mga tawo nakaistar sa mga slum.","In Rio de Janeiro, 20% of the population lives in slums."
Sigurado ako na mamuya kita sadi.,I am sure that we will be very happy here.
Isi kong kanatong gigibuwon.,I know we can do it.
Abo man ni Tom sa mga Bilangon.,Tom doesn't like math.
Diri ninyo paglingawan na tubig a mga pananom.,Don't forget to water the plants.
Buko man adi a gusto ta.,This is not what we want.
Alnow na sadi!,It's freezing out here!
Mga barkada sana kita?,Are we just friends?
Amo 'yan pinaka-raot na bagay na pwede mo kanimo!,That is the worst thing you can do!
Siisay man pig-isip na migbago si Tom?,Who would have thought Tom would change?
Uda ako ginibo.,I didn't do anything.
Nasa trance-like state ako.,I'm in a trance-like state.
Tauno ta isadi ika?,What are you doing out here?
"Mayna kamo, hurry up!","Come on, hurry up!"
Diri ika nag-irungog!,You're not listening!
Paborito ko a BBQ.,I love BBQ.
Push!,Push!
Diri sadto naka-contract ko.,It's not in my contract.
Uno po a hemoglobin?,What is hemoglobin?
Aros magtatakot akong kausipon kanimo.,I am almost scared to talk with you.
Ngamin makaibanan sadto.,Everyone is going to be there.
"Buko sadi pornografia, buko sadi arte.","It's not pornography, it's art."
Pig-uulat pa ako nang toldon kin uno nangyari.,I am still waiting to be told what happened.
Diri ko ika pwedeng i hate.,I can't hate you.
Di iya mapu-pundo.,He cannot stop him.
Diri niya pwedeng pumundo.,She cannot stop it.
Diri iya mapu-pundo.,She cannot stop her.
Diri niya sira mapu-pundo.,She cannot stop them.
Diri na nira 'di mapu-pundo.,They cannot stop it.
Diri iya nira mapu-pundo.,They cannot stop her.
Diri malang rarom.,It's not deep enough.
Buko man an a problema ko.,That's not my problem.
Buko ading ngayamon.,This isn't a game.
Iya a amigo ko.,She's my friend.
Uno yan nangyari?,What's happened?
Diri ako makainga.,I can't breathe.
Diri ako sigurado na amo talaga ako si Mary arog ku unang beses ko iyang nabayad.,I'm not so sure that I like Mary as much as the first time I saw her.
Diri ika mag-purbaran!,Don't try too hard!
Buko man ako amigo mo.,I'm not your friend.
Diri na maray migtapos.,It's not going to end well.
Diri adi migtapos ngowan.,This is not going to end well.
Sadto ika peligro.,You're in danger.
Sari a pinakaaraning tavern?,Where is the nearest tavern?
Uda nabago.,Nothing has changed.
Buko naman adi a unang beses na nangyari adi.,This is not the first time this has happened.
Abo ko man magraan!,I don't want to die!
Tatawan mo ko su mic.,Give me the mic.
Abo man ni Tom sa mga maths.,Tom doesn't like maths.
Diri ko maintindiyan a British humour.,I don't understand British humour.
Madali normal man ika.,You're perfectly normal.
A tunay na amigolye malang iyan ta rara sana iya.,True friendship is precious just because it's rare.
Pwede mo raw tabi yan kanako?,Can you give me that?
Uno a ngaran ni Papa mo?,What is your father's name?
Buko man sana sa mapa.,It's not even on the map.
Uda nakatudang pagkaon.,There is no food left.
Si Tom nagsisilong sa TV.,Tom is watching TV.
Naglangoy si Tom.,Tom is swimming.
Nagtatangis si Tom.,Tom is crying.
Nagtawa sana si Tom.,Tom is laughing.
Nag-inom na ako sa gatas.,I am drinking milk.
Pig-clean ko a kusina.,I am cleaning the kitchen.
Nagparabisara ko si sister ko.,I am talking to my sister.
Pig-aanap ko su cell phone ko.,I am looking for my phone.
Nagkantatang ako kaiba ko mga igin.,I am singing with my children.
Nag-abot na ko a washing machine.,I am repairing the washing machine.
Pig-uulat ko su driver ko.,I am waiting for my driver.
Nagtawa ako kanimo.,I am laughing at you.
Pigbabaoy ko ading Apay ko.,I am calling my father.
Pigtatabang ko si pukuapuon ko.,I am helping my grandfather.
"Kin 1984, nagpuon na si Coke sa HFCS kisa sa kanon.","In 1984, Coke started using HFCS instead of sugar."
Natuturog si Tom!,Tom is drowning!
Nagraan na si Tom.,Tom is dying.
Nagrait si Tom.,Tom is yelling.
Buko ading specialty ko.,This is not my specialty.
Sari su katto?,Where's the cat?
"Ako, nagboiling water.",I am boiling water.
Nagbabagoy na ko a bado ko.,I am changing my clothes.
Pigkurit-kurit ko a usad na bayong.,I am drawing a bird.
Nag-iyan na ako sa post office.,I am going to the post office.
Naggrilling ako sa isura.,I am grilling fish.
Ako nag-iirungog sa country music.,I am listening to country music.
Pigmilkyo ko a baka ko.,I am milking my goat.
Nagbabayad ko a sintabo ka telepono.,I am paying the phone bill.
Nagtuturob ako sa usad na Cigar panawon.,I am smoking a Cuban cigar.
Buko adi maray na shimano.,This is not a good sign.
Pig-iisip ko iyang imposible na makaturog sa mauban.,I thought it was impossible to sleep for so long.
Diri ko 'di bangga.,I'm not proud of this.
Buko man ako kanda.,I'm not one of them.
Iya a lider ka grupo.,He is the group leader.
Diri ako sigurado gusto ko di gibuwon.,I'm not sure I want to do this.
Uda na enoughan sa panahon na maginibo kamo sa ngamin mong gusto.,There's never enough time to do all you want.
Di ko mabayad si dad ko.,I can't see my dad.
Miggibo na 'ko kanimo sa video.,I'll make a video of you.
Nakaraan si Tom sa tuberculosis.,Tom died from tuberculosis.
Nagraan iya sa turbeculosis.,She died from turbeculosis.
Ini a unang beses kong maglunad sa kabayo.,This is the first time I've ridden a horse.
Amo adi unang beses kong nag-uulat sa mauban.,This is the first time I've waited this long.
Amo adi unang beses kong nagbaked sa cake.,This is the first time I've baked a cake.
Ini a unang beses na akong nagswelo sadto ranow.,This is the first time I've swum in a lake.
Amo adi unang beses na akong nagbakal sa suratta sadi syudad na adi.,This is the first time I've bought a newspaper in this city.
Amo adi unang beses na akong nakabayad sa multa.,This is the first time I've paid a fine.
Amo adi unang beses kong nabayad a hayop na adi.,This is the first time I've seen this animal.
Amo adi unang beses kong nagngayamon sa ngayamon.,This is the first time I've played this game.
Amo adi unang beses kong nag-ayat sa trap.,This is the first time I've set a trap.
Ini a unang beses na pigsurat ako sa surat sa saksan.,This is the first time I've written a letter in German.
Amo adi unang beses ko na kabiton a puerta.,This is the first time I've locked the door.
Amo adi unang beses kong ininumba si Mary.,This is the first time I've invited Mary.
Diri ako nagdududang na agko na nagsusunod kanako.,I doubt there's anyone following me.
Dakol pa nanggad a gigibuwon!,There's still so much to do!
Diri ako pwedeng mag-iiyan sunod semana.,I cannot come next week.
Diri dapat na adi nangyari.,This was not supposed to happen.
Nag-abo na ko su washing machine.,I am fixing the washing machine.
Diri ko kayang makatatao dictionary na adi.,I cannot give this dictionary to anyone.
Buko man adi maray.,This is not good at all.
Mabayad sana ika sa palibot.,I'll see you around.
Buko ading raga sadi Afrika.,Africa is not a country.
Diri ta dapat naudaan.,We should not lose hope.
"Usad na aldow a choosero ka Amerika sa babaying presidente, ag diri na maray.","Someday the USA will elect a woman president, and it won't be pretty."
Nagngayamon ako sa gameng kompyuter.,I am playing a computer game.
Isi ko na isi mong.,I know that you know.
Su librong dinara mo buko.,The book you brought is not mine.
Su librong dara mo buko.,The book that you brought is not mine.
Buko man pirmi arog kadi a nangyayari.,It was not always this way.
Sari su ngamin?,Where is everybody?
Gusto mong ipabayad ko kanimo kin pauno gibuwon?,You want me to show you how to do it?
Tatalya man niya.,She's very talented.
Unong oras kamo magpupuon magtrabawo?,What time do you start work?
Madaling popular sa mga senior citizen.,It's popular among senior citizens.
Pero matuod an.,But it's true.
Agko problemang malang raot.,There is a serious problem.
Sa ono man basan ika weren fired?,On what grounds were you fired?
Sabiyon mo kanako sa sadiri mo.,Tell me a little bit about yourself.
Isi kong uno man kamo nag-iisip.,I know what you are thinking.
Ginibo ko kadi dati.,I have done it before.
Ginibo niya kadi dati.,She has done it before.
Diri mo ko pagpuon.,Don't get me started.
Iya a pagkabuot ka kanakong buway.,She's the love of my life.
Iya a pagkabuot ka kanakong buway.,He's the love of my life.
Punok sana ika saka mag-irungog.,Just shut up and listen.
Isi mo man na kaipuwan kong maggalin.,You know I have to go.
Diri sadi.,Not here.
Naggu strong na ako.,I am getting strong.
Nagtawa sana ko si Tom.,I am laughing at Tom.
Naggagamit ako sa bagong kompyuter.,I am using a new computer.
Gusto mong magluwas ka kanako ngowan na gab-i?,Would you like to go out with me tonight?
Diri bayaan a mga lalaki.,Boys aren't welcome.
Mala mong rude!,You're so rude!
Diri kami nag-aako sa tip.,We do not accept tips.
Buko arog ka moralismo.,It is not moralism.
Buko man adi tigru.,This is not a tiger.
Payaba ko a pagkabuon ka Kabyle.,I love Kabyle food.
Sari su pinakaaraning ospital?,Where's the nearest hospital?
Arog ko sister ko.,I am like my sister.
Arog ko si mama ko.,I am like my mother.
Arog ko si Apay ko.,I am like my father.
Arog ko ika.,I am like you.
Ngata ta diri ika nagsimbag?,Why do you not answer?
Di ko isi kin love raw.,I do not know if it is love.
Su plano diri pa nanggad nagtapos.,The plan is not yet finalized.
Ulat!,Wait!
Kaipwanan ko na mag-iyan sa ospital.,I have to go to hospital.
Usad na beses kadto agko duwende na nakaistar sa kawoy.,Once upon a time there was a dwarf that lived in the forest.
Buko ako abogado.,I'm not a lawyer.
Diri ka si Apay nagngangabil.,My father is not talkative.
Tauno man ta gusto mo isi kin uno man a naisipan namo?,Why do you want to know what we are thinking about?
Kuno kuno adto su uring beses na ninyo linubos sa knife?,When was the last time you sharpened this knife?
Gusto ko kiton!,I want one!
"Usad na aldow, a mga Usad na magelection ka kanyang unang presidente na babayi, ag migkamangayo-ngayo na sana sa madali nang kaipuwan na beses.","Someday, the USA will elect its first woman president, and it will rejoice in the long overdue occasion."
Mamuya akong sadi.,I'm very happy to be here.
Maray nang nakabalik!,It's good to be back!
Cycle lanes pa everywhere!,Cycle lanes are everywhere!
Mamuya ako sadto girlfriend ko.,I am happy with my girlfriend.
Sari sumbassy ka Australia?,Where is the Australian embassy?
Dakol a mga Afrikan sadi Germany?,Are there a lot of Africans in Germany?
Taadi a mapa.,Here is the map.
Nakatuod ni Mr. Wang sa saksa ta gusto niya mag-iyan sa saksa.,Mr. Wang learnt German because he wanted to go to Germany.
Makaon mo ko!,Eat me!
Mig-balik kita udma.,We will come back tomorrow.
Buko man adi maray.,This isn't good.
Pupuon na!,Begin!
Buko man adi dating website.,This is not a dating website.
ako a papa mo.,I am your father.
Kuno raw adto nangyari?,When did this happen?
Risiko man sana.,It's too risky.
Diri ika magtawa.,Don't laugh.
Diri ko isi na agko kamo girlfriend.,I didn't know you had a girlfriend.
Diri ko isi na agko ika lalaki.,I didn't know you had a boyfriend.
Diri ko isi na agko kamo upos.,I didn't know you had a cat.
Tambak a gigibo.,There's a lot to do.
Mala mong mamuya.,You are so cute.
Diri ko isi na si Mary su kag-igin ni Tom.,I didn't know that Mary was Tom's mother.
Isi si Tom na Mary a ngod niya?,Does Tom know that Mary is his mother?
Buko ading magayon na ideya.,This is not a good idea.
Di ko na kaipuwan ika.,I don't need you anymore.
Diri ako sigurado na ready.,I'm not sure I'm ready.
Diri ako nagtubod kanimo.,I don't believe you.
Uno na a ngaran ka pelikulang nabobotan ninyo?,What's the name of the film which you like the most?
Agko pa nanggad mga tawong diri makabasa.,There are still people who are unable to read.
Diri iya nagsasarita sa Ingles.,She doesn't speak English.
Agko pa nanggad mga tawong diri makabasa.,There are still people who cannot read.
Mamuya ako na amigo ko ika.,I am happy that you are my friend.
Abo kong gamiton a translator ni Google.,I don't like to use Google Translator.
Uno ginibo nira kanimo?,What have they done to you?
Uno ginibo mo kanya?,What have you done to her?
Diri iya nakatapos maray.,It did not end well.
Solo pa ako.,I am still alone.
Buko an sikreto.,It's not a secret.
Uda iya tiket.,She does not have a ticket.
Diri ako migsurat sa Ingles.,I will not write a letter in English.
Mamuya sira ku sinabi ko kanda.,They were happy when I told them.
Di na ika welcome sadi.,You are no longer welcome here.
Agko baga right.,Something isn't right.
Amo di sister ko.,That is my sister.
Amo yan su igin ko.,That's my boy.
Tinawan sa bayad si Tom su maestra.,Tom gave an apple to the teacher.
Nagngayamon su mga igin sa luwas.,The children are playing outside.
"Una a mga immigrato,sunod a kanimo. A kanatong solidaridad, amo simbag ka social na cannibalismo.","First the immigrants, next you. Our solidarity - is the answer to social cannibalism."
Mala pa ako.,I'm still young.
Babayi na iya.,She's a girl.
Maray man a adi.,This looks good.
Isi mo raw na maray palan iya sa paggibo sa kape?,Did you know that he is good at making coffee?
"Ginasinda niya 'ko, diri sa Domingo, kindi sa Lunes.","She visited me, not on Sunday, but on Monday."
Payaba ko ki Aubergine.,I love aubergine.
Pakituro ko ika a poprotektaran ko.,I promise I will protect you.
Isi raw ku mga pag-abayan mo na pakaraot a baloy mo?,Do your neighbors know that your house is haunted?
Salamat na mag-iyan.,Thanks for coming.
Pirang raga a sadiri sadi Afrika?,How many countries are there in Africa?
Nagdulag na iya sadto kwarto.,She sneaked into the room.
Aros man raw kami a edad ninyo.,We are about your age.
Diri mo tabi pag-istorya sa iba.,Please don't tell anyone.
Buko man loogikal.,It's not logical.
Amo kaya dapat si Tom na nagkakaon ku ham sandwich ko.,I suppose it could have been Tom who ate my ham sandwich.
Mag- breakfast si Tom uru-aldow sa unom na oras.,Tom eats breakfast every morning at six o'clock.
Sabi ni Tom na agko dara sa buros saka diri na namamati na magkaon sa kin uno-uno.,Tom said he had a stomachache and didn't feel like eating anything.
Dapat na magkaon si Tom ngowan.,Tom should have already eaten by now.
Pwede ngani ki Tom mag-aalsa sa gulay kaya kin gatingay sa laman.,Tom should have been eating more vegetables and not as much meat.
Sabi ni Tom na dapat akong magkaon sadto restawran na adto.,Tom told me that I should eat at that restaurant.
Sabi ni Tom kanako gusto mong magkaon sa makusog na pagkaon.,Tom told me that you like to eat spicy food.
Mas makakaon si Tom kin diri niya ilang.,Tom would have eaten more if he hadn't been sick.
Dapat magkaon mo sa kin uno sa ref ngani.,You may eat anything in the refrigerator.
Nagkakaon na kita. Mig-baoy raw ninyo nganod?,We are eating now. Could you please call back later?
Ini a unang beses na akong magkaon sa mga store-bought cookies.,This is the first time I've ever eaten store-bought cookies.
Sari ako pwedeng magcheck ka bagag ko?,Where can I check my luggage in?
pauno mo isi na bukong marabilya ki Mary si Tom?,How did you know that Tom didn't like Mary?
pauno mo isi na si Tom buot kuno si Mary?,How do you know that Tom doesn't like Mary?
pauno mo isi na uda man nanggad si Tom sa Boston?,How did you know that Tom had never been to Boston?
pauno mo isi na pigpapa planong magkaon si Tom sadto restawran ku usad na gab-i?,How did you know that Tom was planning to eat at that restaurant last night?
pauno mo isi na si Tom mag-istar?,How did you know Tom would be there?
pauno mo isi na bukong magpabayad si Tom sa tamang oras?,How did you know that Tom wouldn't show up on time?
pauno isi ni Tom na heredawon si Mary?,How did Tom know that Mary would be here?
pauno isi ni Tom na diri wouldn'ta si Mary sadi?,How did Tom know that Mary wouldn't be here?
Siisay man arog kading Tom na pirmi ninyong pigparabisara?,Who is this Tom you always talk about?
Baydon na kin sari ika paiyan!,Watch where you're going!
Pinabakal si Tom sa bagong pickup.,Tom bought a new pickup.
Diri ko nagpundo na 'nganing payabaon ika.,I've never stopped loving you.
Naggulom si Tom na diri niya isi si Mary.,Tom pretended that he didn't know Mary.
"Dawa abo ko sa matuod, kaipuwan kong mag-eskwela sa logarithm.","Although I did not like math, I had to study logarithms."
Kumusta na ika?,How are you feeling?
Diri ko isi kin agko man si Tom sadto o diri man.,I don't know if Tom works there or not.
Isi kong diri ika makatakot.,I know you're not scared.
Pig-iisip ko man na 'baad mas maray ko man na diri ko pig-clean a kwarto ko.,I thought maybe I'd better not clean my room.
Pig-isip ko man na 'baad mas maray ko man na diri na ako mag-uli.,I thought maybe I'd better not go home right away.
Uda namag sabiyon.,There's nothing more to say.
Sabi ni Tom na dali-daling na iya.,Tom said that he was in a hurry.
Uno gigibuwon ta?,What are we going to do?
Uno yan pig-iinom mo?,What are you drinking?
Uno yan a pag- hurry?,What's the hurry?
Diri mo ginibo kan.,Don't do that.
Buko sana natural.,It's not natural.
Buko na natural.,This is not natural.
Sari paiyan si Tom?,Where's Tom going?
Uno baya a sabi ni Tom?,What does Tom mean?
Sabi ni Tom na sige niya makaabot sa Beatles.,Tom says that he used to hang out with the Beatles.
Buko man maugma si Tom.,Tom is not happy.
Buko man si Tom.,Tom is not dead.
amigo ko si Tom.,I'm a friend of Tom's.
"Sa silong ko si Tom, maray na igin.",I think Tom is a terrific kid.
Isi kong baga kamong si Tom.,I know you like Tom.
Isi kong mas gusto ika ni Tom.,I know Tom likes you.
Mamuya ika.,You're wonderful.
Buko man ika babayi ko.,You're not my mother.
Napasari su ngamin?,Where did everybody go?
Uno yan pigsisilong mo?,What are you watching?
Migparabisara kita kadi nganod.,We'll talk about this later.
Uda kaya sadto.,There is no one there.
Agko na bulan gab-i.,There is a full moon tonight.
Si Mary a maku-ina ko.,Mary's my niece.
Nakatuod akong magluluto.,I've learned to cook.
Di ko na adi kaipuwan.,I don't need this anymore.
Mag-iba sadi.,Come down here.
Diri mo ko pagbusol.,Don't push me.
Mag-iwag na kamot.,Raise your hands.
Diri ika magbasa ku kanakong diaryo.,Don't read my diary.
Diri mo 'ko pagsilong.,Don't look at me.
Diri ika mag-iinom sa tubig.,Don't drink the water.
Narungog mo raw na kin uno pa man arog kadi?,Did you ever hear anything like it?
Migbacheck na kita tulos.,We are going to check it right away.
Aminado ni Tom na nagkaon su ngamin niyang isice cream.,Tom admitted that he ate all the ice cream.
Si Tom a sabi nagkakaon sana niya sa orgaan food.,Tom says that he only eats organic food.
Diri pirming posible magkaon sa maray kin nag-iistorya sadi lugar na kinaban.,It's not always possible to eat well when you're traveling in this part of the world.
Uda na 'ko kinaon nguwan na aldow.,I haven't eaten anything yet today.
A NYPD amo a New York Police Department.,The NYPD is the New York Police Department.
Uda kaya sadto.,There wasn't anyone there.
Magpromisa kanako diri mo na ginibo kan.,Promise me you won't do that again.
Dangan mo ka mga kamot kanako.,Get your hands off me.
Diri mo tabi pagsabiyon kanako kin uno gigibuwon.,Don't tell me what to do.
Abo ko sa mga igin.,I don't want kids.
Gusto niyang magpabakal sa boyfriend niya.,She wants to buy her boyfriend a present.
Diri kita pwedeng magbalik-balik.,We can't turn back.
Diri iya sapat.,It's not enough.
"Bai sana ika, pigpromisa ko akong gibuwon kin uno mong imbitaran mo.",Don't worry. I promise I'll do what you ask.
Diri ika magngayamon sa kanako.,Don't play games with me.
Diri mo adi gibuwon.,Don't do this.
Diri ika magraan.,Don't die.
Diri ika mag rude.,Don't be rude.
Sabiyan mo si Tom na ready ko.,Tell Tom I'm ready.
Pabayai sana a pamilya ko.,Leave my family alone.
Bumalik ika sadi.,Come back here.
Buko ako interesado kadi.,I am not interested in this.
Nagtrabawo kami kanimo.,We're working for you.
gurang na kanako si Tom.,Tom is older than me.
Diri ginibo an adto ni Tom.,Tom would never do that.
Si Tom gusto ikang luwason a basura.,Tom wants you to take the garbage out.
Sabi ni Tom kanako diri iya namati sa maray.,Tom told me that he wasn't feeling very good.
Sabi ni Tom kanako solo iya.,Tom told me that he was lonely.
Sabi ni Tom kanako mamuya.,Tom told me that he was happy.
Sabi ni Tom kanako gusto niyang magluog sa Boston.,Tom told me that he wants to go to Boston.
Sinsan ni Tom na rudeng kausipon si Mary na arog kuno si John.,Tom thought it was rude to talk to Mary the way John did.
Si Tom man sanang buway pa si Mary.,Tom thinks Mary is still alive.
Si Tom think na chickened out si Mary.,Tom thinks Mary chickened out.
Si Tom thinks too picky 'ko.,Tom thinks I'm too picky.
Sinsan ni Tom na isi niya kin uno nangyaring sunod.,Tom thinks he knows what will happen next.
Sabi ni Tom na diri iya maugma.,Tom said that he was unhappy.
Sabi ni Tom na nagp plano na iya na mag-abot sa uru-aldow.,Tom said that he was planning on getting there early.
Sabi ni Tom na buot man si Mary.,Tom said Mary was dishonest.
Sabi ni Tom na migbaoy iya sa 2:30.,Tom said he'd call at 2:30.
"Sabi ni Tom mig-istar iya sadi, pero diri ko iya naanap.","Tom said he'd be here, but I can't find him."
Sabi ni Tom mig-istar iya sa 2:30.,Tom said he'd be here by 2:30.
Sabi ni Tom naraisaw iya na diri kami maka-abot.,Tom said he'd be disappointed if we couldn't come.
Sabi ni Tom na kaipuwan niyang mag-istorya sa usad na tawo manungod ka problema niya.,Tom said he had to tell someone about his problems.
Sabi ni Tom diri niya isi su simbag.,Tom said he didn't know the answer.
Pina rolled down si Tom sadto bintana.,Tom rolled down the window.
Sigurado magturog si Tom.,Tom must have been asleep.
Agko isi ni Tom na diri niya sinabiyan kami.,Tom knows something that he's not telling us.
Isi ni Tom na kinabangan niya si Mary udma.,Tom knows he has to help Mary tomorrow.
Pinagsisiyan ni Tom su angog ni Mary.,Tom kissed Mary's forehead.
Nagtrabawo si Tom.,Tom is working.
Pig-uulat ika ni Tom.,Tom is waiting for you.
Diri makapundo si Tom.,Tom is unstoppable.
Si Tom a payo.,Tom is the boss.
Nakatakot si Tom.,Tom is scared.
Si Tom a man naisip mo kanya.,Tom is not who you think he is.
Si Tom welcome sadi baloy na adi.,Tom is not welcome in this house.
Diri nalingaw an ni Tom.,Tom is not going to forget that.
Uda na suspect si Tom.,Tom is not a suspect anymore.
Namumundo si Tom.,Tom is miserable.
desperata si Tom.,Tom is desperate.
Guraan na si Tom.,Tom is dead.
confusado si Tom.,Tom is confused.
Si Tom nasadi Boston.,Tom is already in Boston.
Nakaluwas si Tom.,Tom has passed out.
Inigot man ni Tom ki Mary.,Tom handed Mary a knife.
Uda na isi ni Tom manungod kan.,Tom doesn't know anything about that.
Diri naaanap si Tom ki Mary.,Tom couldn't find Mary.
Pinabakal naman si Tom ki Mary.,Tom bought Mary a present.
Nag-meditation iya.,She is meditating.
Payaba si ngamin ki Tom.,Everybody loves Tom.
Uda na kami ginigibo!,We weren't doing anything!
friends na sana kita.,We're just friends.
A kamaturan galin sa Kagurangnan ninyo.,The truth from the Lord of you.
Buko ako interesado sa kin uno man sabiyon ni Tom.,I'm not interested in anything Tom has to say.
"Sabi ni Tom na diri niya interesadong si Mary, pero bagana pirming nakasilong paiyan sadto gilid ku kwarto na si Mary.","Tom said he wasn't interested in Mary, but he seemed to always be looking towards the side of the room where she was."
"Sabi ni Tom, malang chooseng.",Tom said it was difficult to choose.
Diri matuod si Tom su Mata niya ki Mary.,Tom couldn't take his eyes off of Mary.
Gusto ko sirang mabayad!,I want to see them!
Naudaan na ko a kanakong soul.,I'm losing my soul.
Pwede mo tigbo sa pinhole kamera ag shoe box.,You can build a pinhole camera with a shoe box.
Sigurado si Tom na mag-istar nguwan.,Tom really should've been here by now.
Mas ngowan talaga dapat inbacheck si Tom.,Tom really should've checked in by now.
Baad dapat natapos man ki Tom sa paggibo kadi nguwan.,Tom really should've finished doing that by now.
Patawad na uda man kintana ako makatabang.,I'm sorry I couldn't be more helpful.
Diri agko mga Ghosts.,Ghosts do not exist.
Nakuko ko ading fotong semanang nakaagi.,I took that photo a week ago.
Buko adto pang unang beses na ginibo nira.,It wasn't the first time they had done it.
Salamat kanimo.,Thank you.
Uda na kami chooseng.,We have no choice.
Guraan si Tom.,Tom is hurt.
A eskwela bukong pakaraot sa panahon.,School is not a waste of time.
Nagtawa sana sira Tom saka Mary.,Tom and Mary both laughed.
Diri isi ni Tom na turog na si Mary.,Tom didn't know that Mary was asleep.
Diri isi ni Tom na namumuot iya ki Mary kanda.,Tom didn't know that Mary was in love with him.
Sigurado sinabiyan ni Tom ki Mary manungod sa John.,Tom must have told Mary about John by now.
Sabi ni Tom napatabangan niya si Mary.,Tom said he was going to help Mary.
Sabi ni Tom na tutigbak kuno niya ki Mary.,Tom said he was going to kill Mary.
Sabi ni Tom na migsisilyo niya si Mary.,Tom said he was going to kiss Mary.
Sabi ni Tom mig resetwela.,Tom said he'd have to reschedule.
Si Tom thinks Mary a malang iniptake ki John.,Tom thinks Mary has a bad influence on John.
Si Tom a pag-una sanang mga sport usad na pag-agihan ka panahon.,Tom thinks that sports are a waste of time.
Naisip ni Tom na a amulet kuno migprotehir iya sa mga werewolves.,Tom thought that the amulet would protect him from werewolves.
A mga condom agko protectionn sa STDs.,Condoms offer protection against STDs.
Buko man adi a unang beses ko.,This is not my first time.
Diri ako kanimo sending su imbitasyon.,I can't send you the invitation.
Coitus interruptus diri pigprotehir sa STDs.,Coitus interruptus does not protect against STDs.
Diri nagmuya si Tom na sadto man si Mary.,Tom wasn't surprised that Mary was there.
Pag-una si Tom na solo na sana iya.,Tom thought he was going to be all alone.
Pag-una si Tom na makakatupar man nanggad si Mary.,Tom thought he was going to be able to meet Mary.
Pwede ngani ki Tom mag-diskusibo ka problema kanako.,Tom should have discussed the matter with me.
Sigurado nang mag-uli si Tom.,Tom should be home now.
Diri ngani dapat iniyanan si Tom sa sana sadto.,Tom never should have gone there by himself.
Diri dapat magkaon ni Tom su mga oyster na an.,Tom never should have eaten those oysters.
Namumundo si Tom ki Mary ku unang beses niya nabayad iya.,Tom fell in love with Mary the first time he saw her.
Uda ako namati na mas maray.,I have never felt better.
Kumusta na si Tom?,How's Tom doing?
Kumusta na sadi eskwelan?,How's school?
Pirang gigibuwon mo?,How many did you take?
Pirang panawon tabi mig-uban?,How long is this going to take?
Pirang beses na naggalin si Tom?,How long has Tom been gone?
Nagpromisa mo tabi kanako na ikang gibuwon?,Do you promise me you'll do that?
Sabi ko raw siisay man si Tom kin kuno iya sadto?,Did anyone tell Tom what time he was supposed to be here?
Siisay si Tom?,Who's Tom?
Siisay nagsasarita ki Tom?,Who's Tom talking to?
Kiisay nagreklamo?,Who's complaining?
Sari a pamilya mo?,Where's your family?
Sari si Tom?,Where's Tom?
Sari a wagon?,Where's the car?
Sari su ngamin?,Where's everyone?
Napasari si Tom?,Where did Tom go?
Sari man po a mga bagay ni Tom?,Where are Tom's things?
Kuno mig-abot si Tom?,When is Tom coming?
Uno a plano mo?,What's your plan?
Uno problema ni Tom?,What's Tom's problem?
Uno a ngaran ni Tom?,What's Tom's last name?
Uno adtong parong?,What's that smell?
Uno a prize ko?,What's my prize?
Uno pigsurat mo?,What are you writing?
Uno pigtrabawoy mo?,What are you working on?
Tauno ta isadi ika?,What are you doing in here?
Uno pa pig-uulat kita?,What are we waiting for?
Ya uno na nangyari?,So what happened?
Ginibo ko na yan.,I already did that.
Isi ko man na buko man si Tom.,I also know that Tom isn't stupid.
